name,model_type,metric_type,metric_value,train_time
model_1,Baseline,mse,83.84870669125685,0.14
model_2,Linear,mse,21.92937881043018,11.22
model_3,Decision Tree,mse,18.90219678217822,22.19
model_4,Decision Tree,mse,17.698275924839862,22.23
model_5,Decision Tree,mse,48.81436938580407,9.97
model_37,Xgboost,mse,15.410453967511462,46.42
model_15,Random Forest,mse,21.436336108442347,36.29
model_36,Xgboost,mse,11.271897594648355,71.67
model_44,Xgboost,mse,13.919386076288882,47.27
model_49,CatBoost,mse,15.00553763884898,8.39
model_19,Extra Trees,mse,32.511815053261735,28.66
model_55,CatBoost,mse,9.835487346498168,23.99
model_32,LightGBM,mse,12.733826144171765,21.86
model_24,Extra Trees,mse,22.52832742271411,36.58
model_25,Extra Trees,mse,31.509164473003153,58.32
model_39,Xgboost,mse,17.699742657791447,22.36
model_48,CatBoost,mse,15.652384672717405,42.31
model_52,CatBoost,mse,16.656986144039355,7.38
model_34,LightGBM,mse,12.205622939148666,28.81
model_50,CatBoost,mse,12.96961369753491,13.55
model_8,Random Forest,mse,29.199869258925368,35.01
model_28,LightGBM,mse,13.561890174695082,15.3
model_11,Random Forest,mse,22.473058892568755,43.17
model_22,Extra Trees,mse,10.170337455729666,60.48
model_14,Random Forest,mse,17.904009451923073,40.81
model_41,Xgboost,mse,11.86795324300347,18.43
model_54,CatBoost,mse,10.156268318138647,19.83
model_13,Random Forest,mse,23.953438543024447,53.59
model_20,Extra Trees,mse,49.22926118853697,37.19
model_27,LightGBM,mse,16.61364120728127,16.84
model_53,CatBoost,mse,15.895387113856424,22.4
model_35,LightGBM,mse,24.90187425573069,31.92
model_51,CatBoost,mse,13.010855664099088,42.4
model_17,Extra Trees,mse,38.212529489608976,33.49
model_31,LightGBM,mse,19.45297450995514,22.44
model_42,Xgboost,mse,11.176016440648054,16.17
model_46,CatBoost,mse,14.779242693454906,15.62
model_29,LightGBM,mse,11.834480003553395,37.59
model_38,Xgboost,mse,11.997195713304468,15.91
model_21,Extra Trees,mse,31.818859345138815,52.47
model_6,Random Forest,mse,25.10065876243585,65.23
model_12,Random Forest,mse,11.705168995570652,76.71
model_9,Random Forest,mse,21.995604975209602,70.71
model_47,CatBoost,mse,9.893276622967608,12.02
model_30,LightGBM,mse,14.195756604412946,27.63
model_33,LightGBM,mse,10.883682349390687,33.47
model_23,Extra Trees,mse,33.480133896720346,72.0
model_26,LightGBM,mse,18.38227197171172,30.07
model_45,Xgboost,mse,11.03533260461267,46.57
model_43,Xgboost,mse,11.99085386488029,41.28
model_16,Extra Trees,mse,36.47601032628114,35.73
model_7,Random Forest,mse,26.721168554573858,54.87
model_18,Extra Trees,mse,37.37832709756367,77.73
model_40,Xgboost,mse,14.383640206372966,73.43
model_10,Random Forest,mse,31.466107750306538,49.25
model_56,CatBoost,mse,10.55287175619143,20.5
model_57,CatBoost,mse,10.090186007875557,27.83
model_58,CatBoost,mse,10.417779566869362,44.01
model_59,CatBoost,mse,10.774207033802398,43.57
model_60,CatBoost,mse,11.715259778616337,43.57
model_61,Extra Trees,mse,10.89660239779343,83.22
model_62,Extra Trees,mse,10.726743354194156,41.37
model_63,Extra Trees,mse,22.574554498581755,57.45
model_64,Extra Trees,mse,22.678240944993583,74.15
model_65,Extra Trees,mse,32.924025669929215,75.4
model_66,LightGBM,mse,11.71090355952983,35.88
model_67,LightGBM,mse,11.985809305359894,41.36
model_68,LightGBM,mse,12.493865469670938,83.6
model_69,LightGBM,mse,13.474053092558584,60.89
model_70,LightGBM,mse,12.678886214433332,63.2
model_71,Random Forest,mse,12.65926429041848,75.64
model_72,Random Forest,mse,20.76703469897483,76.14
model_73,Random Forest,mse,15.434933540696258,75.79
model_74,Random Forest,mse,22.82741496017336,73.05
model_75,Xgboost,mse,10.404057172652747,66.68
model_76,Xgboost,mse,11.620095761596806,34.89
model_77,Xgboost,mse,11.085602631258467,50.63
model_78,Xgboost,mse,10.633763504402722,54.65
model_79,Xgboost,mse,10.336178916477728,28.34
model_80,CatBoost,mse,9.744768001448488,12.01
model_81,CatBoost,mse,10.973329929184322,10.98
model_82,CatBoost,mse,11.384597934413648,42.4
model_83,CatBoost,mse,10.57836418924576,13.34
model_84,LightGBM,mse,11.985809305359894,18.04
model_85,LightGBM,mse,11.635776806677406,22.24
ensemble,Ensemble,mse,8.683896723967932,17.93
