feature,mean_importance
Cabin,-0.01936041243018589
Name_joseph,-0.0166090928199756
Ticket_oq,-0.011696399996206997
Name_annie,-0.011107590603814277
Name_thomas,-0.010726489100872306
Ticket_ston,-0.010348352230610392
Ticket_17582,-0.008767719024912357
Name_dr,-0.007300698044344101
Name_arthur,-0.00678009293248083
Name_george,-0.006588680357474552
Ticket_line,-0.006577466419098665
Name_maria,-0.005343104798411824
Name_august,-0.004700439554848801
Name_charles,-0.0038520240313782094
Name_samuel,-0.0032327783394645593
Name_albert,-0.0026214132857150354
Ticket_paris,-0.002455448873923416
Name_alfred,-0.002208838020307957
Name_alexander,-0.0021726321529379478
Name_ford,-0.0021379090219658
Ticket_29106,-0.0020561917796708905
Name_ellen,-0.0020129115138533436
Ticket_113760,-0.0019150782845325232
Name_anne,-0.0015382544886931803
Name_jane,-0.0015375872509753251
Name_carter,-0.0014230209149748818
Name_nils,-0.0013254375962834964
Name_peter,-0.0012151131680110394
Name_jr,-0.001197828113878896
Name_anna,-0.0010482306039583556
SibSp,-0.0009543838384531878
Name_louise,-0.0008613660429949377
Name_frederick,-0.00084600891058213
Name_walter,-0.0007165006849398026
Ticket_o2,-0.0006826633201414189
Ticket_13502,-0.0005961572806768567
Name_mary,-0.000583415599106929
Ticket_13529,-0.0005532840355140012
Name_johnson,-0.00033584125193506507
Ticket_sc,-0.00026265764318160744
Name_frank,-0.00026093133982703077
Name_patrick,-7.690439110836777e-05
Name_miss,-3.972388716522168e-06
Ticket_31027,0.0
Ticket_17569,0.0
Ticket_370129,0.0
Ticket_17604,0.0
Ticket_36947,0.0
Ticket_17608,0.0
Ticket_17611,0.0
Ticket_17757,0.0
Ticket_17760,0.0
Ticket_17761,0.0
Ticket_36928,0.0
Ticket_370365,0.0
Ticket_17477,0.0
Ticket_19877,0.0
Ticket_113781,0.0
Ticket_113803,0.0
Ticket_113806,0.0
Ticket_11668,0.0
Ticket_11967,0.0
Ticket_12749,0.0
Ticket_17485,0.0
Ticket_7534,0.0
Ticket_37671,0.0
Ticket_16966,0.0
Ticket_371110,0.0
Ticket_17421,0.0
Ticket_17453,0.0
Ticket_17474,0.0
Ticket_13507,0.0
Ticket_367230,0.0
Ticket_19950,0.0
Ticket_31921,0.0
Ticket_2653,0.0
Ticket_2659,0.0
Ticket_347080,0.0
Ticket_2665,0.0
Ticket_34651,0.0
Ticket_345764,0.0
Ticket_2651,0.0
Ticket_2668,0.0
Ticket_3381,0.0
Ticket_2691,0.0
Ticket_2699,0.0
Ticket_2908,0.0
Ticket_33112,0.0
Ticket_3101279,0.0
Ticket_2673,0.0
