feature,mean_importance
Ticket_ston,-0.012030051596694114
Cabin,-0.002821243211617264
Name_charles,-0.002245879245319815
Name_annie,-0.0010501347184890708
Name_ernest,-0.0006792936234690794
Name_helen,-0.000657513150555833
Name_leonard,-0.00047299634657306245
Name_carter,-0.000466757865252454
Name_george,-0.00043945614619849137
Name_arthur,-0.00042943837136855123
Name_joseph,-0.00027159627148845014
Name_ernst,-0.000248492273201506
Name_edward,-0.0002318443656971425
Name_john,-0.00023175593726171284
Name_maria,-9.624143538754515e-05
Name_mary,-7.398970791199222e-05
Name_ivan,0.0
Name_victor,0.0
Name_nils,0.0
Name_arnold,0.0
Ticket_2659,0.0
Ticket_36928,0.0
Name_ada,0.0
Name_johan,0.0
Ticket_17608,0.0
Name_richard,1.1102230246251566e-17
Ticket_250647,1.1102230246251566e-17
Name_gustaf,1.1102230246251566e-17
Ticket_24160,1.1102230246251566e-17
Ticket_31921,1.1102230246251566e-17
Ticket_33112,1.1102230246251566e-17
Ticket_29106,1.1102230246251566e-17
Ticket_248727,1.1102230246251566e-17
Name_norman,1.1102230246251566e-17
Ticket_2666,1.1102230246251566e-17
Name_patrick,1.1102230246251566e-17
Name_jr,1.1102230246251566e-17
Ticket_26360,1.1102230246251566e-17
Ticket_17477,1.1102230246251566e-17
Ticket_250644,1.1102230246251566e-17
Ticket_3101295,1.1102230246251566e-17
Name_frederick,1.1102230246251566e-17
Name_tannous,1.1102230246251566e-17
Ticket_19950,1.1102230246251566e-17
Ticket_17760,1.1102230246251566e-17
Ticket_113806,1.1102230246251566e-17
Ticket_370129,1.1102230246251566e-17
Ticket_36947,1.1102230246251566e-17
Name_campbell,1.1102230246251566e-17
Name_catherine,1.1102230246251566e-17
Name_thomas,1.1102230246251566e-17
Ticket_pc,1.1102230246251566e-17
Ticket_237736,1.1102230246251566e-17
Name_elsie,1.1102230246251566e-17
Name_emil,1.1102230246251566e-17
Ticket_7534,1.1102230246251566e-17
Ticket_347088,1.1102230246251566e-17
Ticket_347082,1.1102230246251566e-17
Ticket_16966,2.2204460492503132e-17
Name_michael,2.2204460492503132e-17
Ticket_17485,2.2204460492503132e-17
Ticket_17611,2.2204460492503132e-17
Ticket_2653,2.2204460492503132e-17
Ticket_2651,2.2204460492503132e-17
Ticket_11668,2.2204460492503132e-17
Ticket_17761,2.2204460492503132e-17
Name_robert,2.2204460492503132e-17
Name_thayer,2.2204460492503132e-17
Ticket_113776,2.2204460492503132e-17
Ticket_19928,2.2204460492503132e-17
Ticket_239853,2.2204460492503132e-17
Name_planke,2.2204460492503132e-17
Ticket_110465,2.2204460492503132e-17
Ticket_110413,2.2204460492503132e-17
Name_williams,2.2204460492503132e-17
Ticket_230080,2.2204460492503132e-17
Ticket_19877,2.2204460492503132e-17
Name_smith,2.2204460492503132e-17
Ticket_2908,2.2204460492503132e-17
Ticket_17474,2.2204460492503132e-17
Name_alice,2.2204460492503132e-17
Name_alfred,2.2204460492503132e-17
Name_daniel,2.2204460492503132e-17
Ticket_35273,2.2204460492503132e-17
Ticket_370365,2.2204460492503132e-17
Ticket_349909,2.2204460492503132e-17
Ticket_382652,2.2204460492503132e-17
Name_elias,2.2204460492503132e-17
Name_martin,2.2204460492503132e-17
Name_elizabeth,2.2204460492503132e-17
Name_ellen,2.2204460492503132e-17
Name_eugene,2.2204460492503132e-17
Name_august,2.2204460492503132e-17
Name_goodwin,2.2204460492503132e-17
