feature,mean_importance
Cabin,-0.112727812811907
Ticket_17582,-0.062472033417536287
Name_ellen,-0.06169280929737693
Name_charles,-0.05448752955467735
Name_thomas,-0.04970219101929407
Name_annie,-0.048221667952348744
Name_august,-0.04554032671230135
Age,-0.03789567589043776
Name_joseph,-0.0309075727686829
Ticket_oq,-0.02765559888218703
Name_mary,-0.02735076127147016
Ticket_ston,-0.02673492063159615
Name_miss,-0.026703946474352015
SibSp,-0.024846839701603684
Parch,-0.02481554988670389
Ticket_pc,-0.019564322416165236
Ticket_13529,-0.018401635710551513
Embarked_C,-0.016758860759746773
Name_frederick,-0.01496981082481188
Name_johan,-0.011837151664754453
Name_edward,-0.011704210982783136
Name_walter,-0.011071597079209728
Name_victor,-0.010805968162251035
Ticket_29106,-0.009463698081771499
Name_william,-0.009260819716783119
Name_henry,-0.008861783746330065
Name_helen,-0.008843116319926337
Name_peter,-0.006915511517092865
Ticket_113760,-0.006770314074553774
Name_jr,-0.006009076645002586
Name_frank,-0.004668364584685269
Name_elias,-0.0038443323681142784
Name_louise,-0.0035143376933369995
Name_johnson,-0.0027104461085479593
Name_anna,-0.002423953445963756
Name_skoog,-0.0023980986003232286
Name_alice,-0.002032798415912307
Name_alfred,-0.0019755302309407696
Name_sofia,-0.001401084290313781
Name_maria,-0.0013821746923839751
Name_andersson,-0.0013726334402082152
Name_elizabeth,-0.0013338575835940337
Name_samuel,-0.0008275773027601296
Name_nils,-0.0007308592355659282
Name_hansen,-0.0005947558656054675
Ticket_349909,-0.0005292867126675648
Name_carter,-0.00012742691153131425
Name_anne,-2.9424472439609774e-05
Ticket_17760,0.0
Ticket_17761,0.0
Ticket_19877,0.0
Ticket_19928,0.0
Name_emily,0.0
Ticket_2123,0.0
Ticket_231919,0.0
Ticket_6608,0.0
Ticket_237736,0.0
Ticket_239853,0.0
Ticket_19950,0.0
Ticket_230080,0.0
Ticket_17604,0.0
Ticket_17611,0.0
Ticket_17608,0.0
Ticket_24160,0.0
Ticket_17569,0.0
Ticket_17485,0.0
Ticket_17477,0.0
Ticket_17474,0.0
Ticket_17453,0.0
Ticket_17421,0.0
Ticket_16966,0.0
Ticket_7534,0.0
Ticket_13507,0.0
Ticket_12749,0.0
Ticket_11967,0.0
Ticket_17757,0.0
Ticket_244252,0.0
Ticket_248738,0.0
Ticket_248727,0.0
Ticket_3381,0.0
Ticket_345764,0.0
Ticket_34651,0.0
Ticket_347080,0.0
Ticket_347082,0.0
Ticket_349208,0.0
Ticket_349237,0.0
Ticket_35273,0.0
Ticket_358585,0.0
Ticket_367230,0.0
Ticket_36928,0.0
Ticket_36947,0.0
Ticket_370129,0.0
Ticket_370365,0.0
Ticket_371110,0.0
Ticket_33112,0.0
Ticket_244367,0.0
Ticket_31921,0.0
Ticket_3101279,0.0
Ticket_11668,0.0
Ticket_250644,0.0
Ticket_250647,0.0
Ticket_26360,0.0
Ticket_2651,0.0
Ticket_2653,0.0
Ticket_2659,0.0
Ticket_2665,0.0
Ticket_54636,0.0
Ticket_2668,0.0
Ticket_2673,0.0
Ticket_2691,0.0
Ticket_2699,0.0
Ticket_2908,0.0
Name_ada,0.0
Ticket_31027,0.0
