feature,shap_importance
OverallQual,0.20630165934562683
GrLivArea,0.176416277885437
MSZoning_C (all),0.06348560750484467
TotalBsmtSF,0.05868222191929817
YearRemodAdd,0.04858890175819397
GarageCars,0.04781822860240936
BsmtFinSF1,0.043692246079444885
OverallCond,0.03431258723139763
GarageFinish_Unf,0.033904943615198135
Id,0.033822301775217056
Fireplaces,0.0305765550583601
LotArea,0.028161179274320602
YearBuilt,0.027567753568291664
ExterQual_TA,0.026557715609669685
GarageArea,0.026477493345737457
1stFlrSF,0.02253340743482113
MSZoning_RM,0.017624925822019577
CentralAir,0.015528498217463493
BsmtExposure_No,0.014165384694933891
KitchenQual_TA,0.012600741349160671
OpenPorchSF,0.011431034654378891
SaleCondition_Abnorml,0.009830005466938019
2ndFlrSF,0.00948524009436369
BsmtFinType1_GLQ,0.008424799889326096
WoodDeckSF,0.00794247630983591
KitchenQual_Ex,0.007614963687956333
HeatingQC_Fa,0.005298030562698841
GarageYrBlt,0.005146922077983618
Neighborhood_Crawfor,0.0050061712972819805
FullBath,0.004970942623913288
KitchenQual_Gd,0.004937378689646721
Functional_Typ,0.0048620691522955894
SaleType_New,0.004421589896082878
LotFrontage,0.004358225502073765
ScreenPorch,0.004352799151092768
HeatingQC_TA,0.0036670847330242395
Neighborhood_Edwards,0.003603107063099742
Condition1_Artery,0.003321523778140545
Fence_GdWo,0.0029734880663454533
MSZoning_RL,0.002929643029347062
HeatingQC_Ex,0.002907244488596916
Exterior1st_BrkFace,0.0027961907908320427
LotShape_Reg,0.002715109847486019
Neighborhood_OldTown,0.0023521408438682556
LandContour_Bnk,0.002304335590451956
GarageType_Detchd,0.002290392527356744
BsmtExposure_Gd,0.0021311102900654078
HalfBath,0.00202345522120595
MasVnrArea,0.0018164700595661998
SaleCondition_Family,0.001750817522406578
Foundation_PConc,0.0017230963567271829
Condition1_Norm,0.001703262678347528
MSSubClass,0.001615949091501534
MoSold,0.0015296887140721083
BsmtFullBath,0.0014094627695158124
BsmtQual_Ex,0.0012424765154719353
YrSold,0.0009826612658798695
Exterior2nd_VinylSd,0.0008218729053623974
BsmtUnfSF,0.0007611201144754887
Functional_Maj2,0.0007434927974827588
GarageFinish_RFn,0.0007384938653558493
Electrical_FuseA,0.000718465365935117
Neighborhood_ClearCr,0.0006886461633257568
HouseStyle_SLvl,0.0006682455423288047
GarageType_Attchd,0.0005759294144809246
KitchenAbvGr,0.0005749809206463397
Condition2_Feedr,0.00047778678708709776
BsmtCond_Gd,0.00044430309208109975
Exterior1st_Plywood,0.00042925734305754304
BsmtCond_Fa,0.0003822766593657434
Exterior2nd_Wd Sdng,0.0003758110979106277
Neighborhood_Mitchel,0.00035987209412269294
Exterior1st_VinylSd,0.0003364816657267511
LotConfig_Inside,0.00032651101355440915
BsmtFinType1_ALQ,0.0002900131803471595
PoolArea,0.00024835753720253706
LandSlope_Mod,0.00024747278075665236
GarageType_CarPort,0.0001909364218590781
GarageCond_Fa,0.00017879698134493083
LotConfig_Corner,0.00017161820142064244
Neighborhood_StoneBr,0.0001696645049378276
FireplaceQu_TA,0.00015732111933175474
Condition1_RRAe,0.000141357202664949
RoofStyle_Gable,0.00011214707774342969
LotShape_IR2,9.655729809310287e-05
SaleCondition_Alloca,9.515326382825151e-05
Heating_GasA,8.555755630368367e-05
Neighborhood_SWISU,8.124084706651047e-05
Heating_Grav,8.025346323847771e-05
Neighborhood_NWAmes,7.183868729043752e-05
TotRmsAbvGrd,5.2932951803086326e-05
Alley,1.7653957911534235e-05
BsmtFinType1_Unf,0.0
SaleType_CWD,0.0
BsmtFinType2_ALQ,0.0
BsmtFinType1_Rec,0.0
BsmtFinType1_LwQ,0.0
GarageQual_TA,0.0
BsmtFinType2_GLQ,0.0
SaleType_COD,0.0
BsmtFinType2_BLQ,0.0
BsmtFinType1_BLQ,0.0
BsmtFinType2_LwQ,0.0
BsmtFinType2_Rec,0.0
BsmtFinType2_Unf,0.0
MiscFeature_TenC,0.0
Heating_Floor,0.0
SaleType_Con,0.0
SaleType_ConLw,0.0
SaleType_ConLD,0.0
SaleType_ConLI,0.0
SaleCondition_Normal,0.0
Foundation_BrkTil,0.0
Foundation_CBlock,0.0
Foundation_Slab,0.0
Foundation_Stone,0.0
Foundation_Wood,0.0
BsmtQual_Fa,0.0
SaleCondition_AdjLand,0.0
SaleType_WD,0.0
BsmtQual_Gd,0.0
BsmtQual_TA,0.0
SaleType_Oth,0.0
BsmtCond_TA,0.0
BsmtExposure_Av,0.0
BsmtExposure_Mn,0.0
Heating_GasW,0.0
MiscFeature_Shed,0.0
Heating_OthW,0.0
Heating_Wall,0.0
FireplaceQu_Fa,0.0
FireplaceQu_Gd,0.0
FireplaceQu_Po,0.0
GarageType_2Types,0.0
PavedDrive_P,0.0
GarageType_Basment,0.0
PavedDrive_N,0.0
GarageType_BuiltIn,0.0
GarageCond_TA,0.0
GarageCond_Po,0.0
GarageFinish_Fin,0.0
GarageCond_Gd,0.0
GarageCond_Ex,0.0
GarageQual_Ex,0.0
GarageQual_Fa,0.0
ExterCond_Gd,0.0
GarageQual_Gd,0.0
FireplaceQu_Ex,0.0
PavedDrive_Y,0.0
Functional_Sev,0.0
Fence_MnPrv,0.0
GarageQual_Po,0.0
MiscFeature_Othr,0.0
HeatingQC_Gd,0.0
MiscFeature_Gar2,0.0
Fence_MnWw,0.0
Electrical_FuseF,0.0
Electrical_SBrkr,0.0
Fence_GdPrv,0.0
Functional_Mod,0.0
KitchenQual_Fa,0.0
PoolQC_Gd,0.0
PoolQC_Fa,0.0
Functional_Maj1,0.0
PoolQC_Ex,0.0
Functional_Min1,0.0
Functional_Min2,0.0
ExterCond_TA,0.0
Exterior1st_Stone,0.0
ExterCond_Fa,0.0
Condition1_Feedr,0.0
Neighborhood_IDOTRR,0.0
Neighborhood_MeadowV,0.0
Neighborhood_NAmes,0.0
Neighborhood_NPkVill,0.0
Neighborhood_NoRidge,0.0
Neighborhood_NridgHt,0.0
Neighborhood_Sawyer,0.0
Neighborhood_SawyerW,0.0
Neighborhood_Somerst,0.0
Neighborhood_Timber,0.0
Neighborhood_Veenker,0.0
Condition1_PosA,0.0
ExterCond_Ex,0.0
Condition1_PosN,0.0
Condition1_RRAn,0.0
Condition1_RRNn,0.0
Condition2_Artery,0.0
Condition2_Norm,0.0
Condition2_PosA,0.0
Condition2_PosN,0.0
Condition2_RRAe,0.0
Condition2_RRAn,0.0
Condition2_RRNn,0.0
BldgType_1Fam,0.0
Neighborhood_Gilbert,0.0
Neighborhood_CollgCr,0.0
Neighborhood_BrkSide,0.0
Neighborhood_BrDale,0.0
Street,0.0
Utilities,0.0
BsmtFinSF2,0.0
LowQualFinSF,0.0
BsmtHalfBath,0.0
BedroomAbvGr,0.0
EnclosedPorch,0.0
3SsnPorch,0.0
MiscVal,0.0
MSZoning_FV,0.0
MSZoning_RH,0.0
LotShape_IR1,0.0
LotShape_IR3,0.0
LandContour_HLS,0.0
LandContour_Low,0.0
LandContour_Lvl,0.0
LotConfig_CulDSac,0.0
LotConfig_FR2,0.0
LotConfig_FR3,0.0
LandSlope_Gtl,0.0
LandSlope_Sev,0.0
Neighborhood_Blmngtn,0.0
Neighborhood_Blueste,0.0
BldgType_2fmCon,0.0
BldgType_Duplex,0.0
BldgType_Twnhs,0.0
Exterior1st_MetalSd,0.0
Exterior1st_Wd Sdng,0.0
Exterior1st_WdShing,0.0
Exterior2nd_AsbShng,0.0
Exterior2nd_AsphShn,0.0
Exterior2nd_Brk Cmn,0.0
Exterior2nd_BrkFace,0.0
Exterior2nd_CBlock,0.0
Exterior2nd_CmentBd,0.0
Exterior2nd_HdBoard,0.0
Exterior2nd_ImStucc,0.0
Exterior2nd_MetalSd,0.0
Exterior2nd_Other,0.0
Exterior2nd_Plywood,0.0
Exterior2nd_Stone,0.0
Exterior2nd_Stucco,0.0
Exterior2nd_Wd Shng,0.0
MasVnrType_BrkCmn,0.0
MasVnrType_BrkFace,0.0
MasVnrType_None,0.0
MasVnrType_Stone,0.0
ExterQual_Ex,0.0
ExterQual_Fa,0.0
ExterQual_Gd,0.0
Exterior1st_Stucco,0.0
Exterior1st_ImStucc,0.0
BldgType_TwnhsE,0.0
Exterior1st_HdBoard,0.0
HouseStyle_1.5Fin,0.0
HouseStyle_1.5Unf,0.0
HouseStyle_1Story,0.0
HouseStyle_2.5Fin,0.0
HouseStyle_2.5Unf,0.0
HouseStyle_2Story,0.0
HouseStyle_SFoyer,0.0
RoofStyle_Flat,0.0
RoofStyle_Gambrel,0.0
RoofStyle_Hip,0.0
RoofStyle_Mansard,0.0
RoofStyle_Shed,0.0
RoofMatl_ClyTile,0.0
RoofMatl_CompShg,0.0
RoofMatl_Roll,0.0
RoofMatl_Tar&Grv,0.0
RoofMatl_WdShake,0.0
RoofMatl_WdShngl,0.0
Exterior1st_AsbShng,0.0
Exterior1st_AsphShn,0.0
Exterior1st_BrkComm,0.0
Exterior1st_CBlock,0.0
Exterior1st_CemntBd,0.0
SaleCondition_Partial,0.0
