Sex,Length,Diameter,Height,Wholeweight,Shuckedweight,Visceraweight,Shellweight,target
1.0,0.555,0.42,0.14,0.868,0.33,0.243,0.21,1
2.0,0.555,0.43,0.125,0.7005,0.3395,0.1355,0.2095,0
2.0,0.565,0.435,0.145,0.8445,0.3975,0.158,0.255,0
0.0,0.575,0.45,0.155,0.8859999999999999,0.3605,0.21100000000000002,0.2575,0
2.0,0.43,0.335,0.105,0.37799999999999995,0.188,0.0785,0.09,0
1.0,0.66,0.475,0.18,1.3695,0.6409999999999999,0.294,0.335,0
2.0,0.275,0.205,0.07,0.1055,0.495,0.019,0.0315,0
2.0,0.295,0.215,0.07,0.121,0.047,0.0155,0.0405,0
2.0,0.495,0.4,0.145,0.578,0.2545,0.1305,0.1645,0
1.0,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,1
1.0,0.655,0.515,0.17,1.527,0.8485,0.2635,0.331,1
0.0,0.595,0.435,0.16,1.057,0.4255,0.22399999999999998,0.31,0
2.0,0.575,0.455,0.18,0.8525,0.3015,0.1825,0.3,1
0.0,0.605,0.47,0.18,1.1155,0.479,0.2565,0.321,1
1.0,0.64,0.475,0.175,1.1545,0.4865,0.341,0.28800000000000003,0
2.0,0.5,0.395,0.12,0.537,0.2165,0.1085,0.1785,0
0.0,0.52,0.425,0.125,0.79,0.37200000000000005,0.205,0.19,0
2.0,0.28,0.12,0.075,0.11699999999999999,0.0455,0.028999999999999998,0.0345,0
0.0,0.665,0.505,0.16,1.2890000000000001,0.6145,0.253,0.3665,1
0.0,0.58,0.455,0.195,1.859,0.945,0.426,0.441,0
2.0,0.5,0.375,0.12,0.542,0.215,0.11599999999999999,0.17,0
2.0,0.275,0.205,0.065,0.10099999999999999,0.040999999999999995,0.021,0.034,0
2.0,0.41,0.31,0.09,0.33899999999999997,0.155,0.0695,0.09,0
1.0,0.62,0.48,0.175,1.0405,0.46399999999999997,0.2225,0.3,0
2.0,0.49,0.39,0.12,0.511,0.2205,0.10300000000000001,0.1745,0
2.0,0.415,0.31,0.1,0.2805,0.114,0.0565,0.0975,0
0.0,0.65,0.51,0.19,1.5419999999999998,0.7155,0.3735,0.375,0
0.0,0.595,0.48,0.14,0.9125,0.4095,0.1825,0.289,0
2.0,0.495,0.37,0.125,0.4715,0.2075,0.091,0.15,0
2.0,0.335,0.26,0.09,0.1965,0.0875,0.040999999999999995,0.055999999999999994,0
1.0,0.555,0.44,0.155,1.016,0.4935,0.1855,0.263,1
2.0,0.46,0.355,0.14,0.4935,0.21600000000000003,0.133,0.115,1
0.0,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,1
1.0,0.49,0.39,0.135,0.5785,0.2465,0.12300000000000001,0.2,1
1.0,0.715,0.565,0.24,2.1995,0.7245,0.465,0.885,1
2.0,0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086,0
1.0,0.665,0.57,0.185,1.5219999999999998,0.6965,0.3025,0.405,1
0.0,0.71,0.55,0.2,1.9045,0.882,0.44,0.5,1
2.0,0.485,0.365,0.09,0.6509999999999999,0.3165,0.132,0.18,0
0.0,0.55,0.435,0.16,0.9059999999999999,0.342,0.21899999999999997,0.295,1
1.0,0.66,0.53,0.18,1.5175,0.7765,0.302,0.401,1
1.0,0.465,0.35,0.135,0.6265,0.259,0.1445,0.175,0
0.0,0.44,0.325,0.115,0.39,0.163,0.087,0.113,0
2.0,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,0
2.0,0.535,0.42,0.145,0.6885,0.273,0.1515,0.237,0
2.0,0.4,0.3,0.11,0.315,0.109,0.067,0.12,0
0.0,0.635,0.52,0.175,1.2919999999999998,0.6,0.26899999999999996,0.36700000000000005,1
0.0,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,1
1.0,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,1
0.0,0.41,0.31,0.125,0.3595,0.1415,0.0885,0.115,1
2.0,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,0
0.0,0.55,0.435,0.145,0.843,0.32799999999999996,0.1915,0.255,1
0.0,0.265,0.2,0.065,0.084,0.034,0.0105,0.03,0
1.0,0.505,0.375,0.115,0.5895,0.2635,0.12,0.16699999999999998,1
0.0,0.69,0.505,0.2,1.8719999999999999,0.893,0.4015,0.48,1
0.0,0.52,0.41,0.115,0.77,0.263,0.157,0.26,1
0.0,0.63,0.525,0.195,1.3135,0.4935,0.2565,0.465,1
2.0,0.395,0.29,0.095,0.319,0.138,0.08,0.08199999999999999,0
2.0,0.475,0.42,0.16,0.7095,0.35,0.1505,0.1845,0
0.0,0.62,0.495,0.195,1.5145,0.579,0.34600000000000003,0.5195,1
0.0,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,1
1.0,0.615,0.475,0.155,1.115,0.484,0.2115,0.355,1
1.0,0.575,0.48,0.165,1.078,0.511,0.2095,0.306,0
1.0,0.71,0.53,0.195,1.8745,0.6755,0.4065,0.6855,1
0.0,0.465,0.36,0.125,0.4365,0.16899999999999998,0.1075,0.145,1
2.0,0.335,0.25,0.08,0.183,0.0735,0.04,0.0575,0
0.0,0.555,0.44,0.14,0.8705,0.40700000000000003,0.156,0.255,0
